,Unnamed: 0,id,scrape_id,host_id,host_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
4619,4619,34443664.0,20200000000000.0,72308796,2,41.17119,-8.59505,2,1.0,1.0,2.0,2,15,0,0,0,91,74,13,0,4.84,4.84,4.97,5.0,4.99,4.58,4.74,1,1,0,0,1.14
4620,4620,34478255.0,20200000000000.0,232313885,1,41.12795,-8.64467,4,,,,1,24,0,0,0,0,3,0,0,4.33,5.0,4.33,5.0,5.0,4.67,4.67,1,0,1,0,0.04
4623,4623,34513139.0,20200000000000.0,7902816,6,41.15282,-8.6141,4,1.0,1.0,2.0,3,48,0,11,25,115,155,34,0,4.98,4.98,4.93,4.97,4.97,4.89,4.92,4,4,0,0,2.3
4625,4625,34527929.0,20200000000000.0,25959850,2,41.14673,-8.61734,3,1.0,1.0,1.0,3,25,16,46,76,166,154,36,2,4.95,4.97,4.99,4.95,4.99,4.94,4.9,2,2,0,0,2.35
4628,4628,34534524.0,20200000000000.0,25959850,2,41.14657,-8.61625,3,1.0,1.0,2.0,3,25,16,46,76,166,117,34,2,4.94,4.99,4.98,4.96,4.95,4.96,4.92,2,2,0,0,1.74
4631,4631,34555293.0,20200000000000.0,206243453,2,41.173019,-8.635181,1,1.0,1.0,1.0,1,10,2,14,44,44,77,33,0,4.91,4.88,4.9,4.87,4.84,4.61,4.83,2,0,2,0,2.36
4632,4632,34561337.0,20200000000000.0,42455391,8,41.14734,-8.58773,4,1.0,1.0,2.0,1,1125,15,45,61,319,82,6,0,4.78,4.79,4.78,4.9,4.84,4.76,4.73,8,8,0,0,1.21
4633,4633,34563539.0,20200000000000.0,42455391,8,41.14734,-8.58773,4,1.0,1.0,3.0,1,1125,15,45,75,350,75,3,0,4.81,4.84,4.83,4.87,4.88,4.68,4.71,8,8,0,0,1.1
4635,4635,34564009.0,20200000000000.0,42455391,8,41.14734,-8.58773,2,1.0,1.0,1.0,1,15,20,49,79,354,148,30,1,4.41,4.53,4.58,4.8,4.79,4.7,4.43,8,8,0,0,2.18
4641,4641,34592533.0,20200000000000.0,38656365,1,41.14665,-8.60487,4,,1.0,,2,1125,0,0,0,0,25,0,0,4.84,4.92,4.92,4.68,4.68,5.0,4.88,1,1,0,0,0.37
4644,4644,34625666.0,20200000000000.0,231994631,5,41.15335,-8.61243,2,1.0,0.0,2.0,2,180,29,59,89,364,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5,0,0,0.02
4646,4646,34652080.0,20200000000000.0,260784611,8,41.15282,-8.6141,3,1.0,1.0,2.0,3,1125,21,38,53,53,133,41,0,4.92,4.95,4.98,4.97,4.98,4.93,4.86,2,2,0,0,1.98
4648,4648,34673984.0,20200000000000.0,261547363,3,41.15925,-8.61342,4,,1.0,,2,365,0,0,0,0,2,0,0,5.0,5.0,5.0,5.0,5.0,4.5,5.0,3,3,0,0,0.03
4652,4652,34677414.0,20200000000000.0,96434824,1,41.15736,-8.60538,4,1.0,1.0,2.0,2,1125,0,0,0,41,74,0,0,4.92,4.92,4.95,4.96,4.91,4.81,4.85,1,1,0,0,1.09
4655,4655,34681991.0,20200000000000.0,2538516,1,41.13535,-8.61058,2,1.0,1.0,1.0,2,60,16,46,75,314,186,33,1,4.51,4.67,4.27,4.82,4.85,4.8,4.59,1,1,0,0,2.98
4656,4656,34702750.0,20200000000000.0,71810730,20,41.13117,-8.6048,6,2.0,3.0,5.0,3,180,6,36,66,329,77,25,0,4.88,4.88,4.91,4.9,4.94,4.73,4.82,20,20,0,0,1.15
4659,4659,34710787.0,20200000000000.0,261800218,4,41.1427,-8.62067,2,1.0,1.0,1.0,2,27,17,47,77,351,16,0,0,4.69,4.75,4.81,5.0,4.75,4.75,4.44,4,4,0,0,0.24
4660,4660,34711237.0,20200000000000.0,261800218,4,41.14138,-8.61902,2,1.0,1.0,2.0,2,27,30,60,90,364,9,0,0,4.67,4.89,4.89,4.89,4.89,5.0,4.44,4,4,0,0,0.13
4661,4661,34711296.0,20200000000000.0,261800218,4,41.14274,-8.61887,1,1.0,1.0,1.0,2,27,27,57,87,328,45,12,0,4.73,4.84,4.98,4.8,4.84,4.87,4.73,4,4,0,0,0.67
4662,4662,34711331.0,20200000000000.0,261800218,4,41.1434,-8.61884,2,1.0,1.0,1.0,2,27,25,55,85,349,20,4,0,4.85,4.85,5.0,5.0,4.9,4.85,4.5,4,4,0,0,0.3
4664,4664,34714696.0,20200000000000.0,261838758,1,41.1431,-8.61205,2,,1.0,,2,1125,0,0,0,0,89,0,0,4.83,4.87,4.85,4.91,4.92,4.87,4.81,1,1,0,0,1.31
4668,4668,34745873.0,20200000000000.0,185826370,9,41.13981,-8.60895,7,2.0,3.0,4.0,1,31,26,56,86,355,185,48,2,4.55,4.7,4.5,4.71,4.74,4.96,4.51,1,1,0,0,2.75
4669,4669,34746357.0,20200000000000.0,155005113,3,41.1633,-8.6304,4,1.0,1.0,2.0,3,60,0,12,42,59,34,3,0,4.79,4.79,4.74,4.79,4.85,4.71,4.59,3,3,0,0,0.52
4672,4672,34776702.0,20200000000000.0,702890,3,41.15171,-8.62176,1,1.0,1.0,1.0,2,90,9,36,66,341,194,56,2,4.96,4.94,4.96,4.91,4.94,4.9,4.91,2,0,2,0,2.96
4674,4674,34778995.0,20200000000000.0,702890,3,41.15191,-8.62067,2,1.0,1.0,1.0,2,90,12,42,64,332,169,34,0,4.94,4.96,4.89,4.93,4.96,4.95,4.87,2,0,2,0,2.55
4677,4677,34805076.0,20200000000000.0,119439098,3,41.15867,-8.60835,2,1.0,1.0,1.0,2,1125,1,1,1,272,49,14,0,4.65,4.76,4.69,4.96,4.82,4.49,4.53,3,3,0,0,0.74
4680,4680,34840453.0,20200000000000.0,47992630,4,41.16661,-8.5945,4,1.5,1.0,1.0,2,60,23,53,83,161,17,4,0,4.88,4.88,4.88,4.71,4.82,4.88,4.82,4,4,0,0,0.27
4681,4681,34864002.0,20200000000000.0,90781628,10,41.14965,-8.60594,4,1.0,1.0,3.0,1,20,18,41,69,218,152,35,1,4.84,4.88,4.87,4.96,4.99,4.96,4.82,10,10,0,0,2.25
4698,4698,34974968.0,20200000000000.0,38963404,9,41.15549,-8.61622,2,1.0,1.0,1.0,3,365,21,21,21,21,36,16,0,4.78,4.81,4.83,4.83,4.92,4.78,4.83,9,9,0,0,0.54
4699,4699,34975693.0,20200000000000.0,38963404,9,41.15472,-8.61477,4,,1.0,,3,365,0,0,0,0,10,0,0,4.9,4.9,4.7,4.7,5.0,4.9,4.8,9,9,0,0,0.15
4700,4700,34975810.0,20200000000000.0,38963404,9,41.15539,-8.6165,4,1.0,1.0,2.0,3,365,21,21,21,21,25,9,0,4.76,4.76,4.96,4.92,4.96,4.88,4.84,9,9,0,0,0.38
4702,4702,34990516.0,20200000000000.0,157667783,2,41.16161,-8.64303,4,1.5,2.0,2.0,3,1125,0,0,0,34,48,1,0,4.92,4.9,4.96,4.98,4.96,4.79,4.85,2,2,0,0,0.71
4703,4703,34995595.0,20200000000000.0,12412664,4,41.14344,-8.61727,4,1.0,2.0,3.0,3,30,21,51,78,161,140,26,0,4.76,4.81,4.7,4.84,4.91,4.89,4.73,4,4,0,0,2.12
4704,4704,34997494.0,20200000000000.0,12412664,4,41.1431,-8.61865,2,1.0,0.0,1.0,3,30,23,53,83,160,85,10,0,4.85,4.88,4.92,4.91,4.93,4.94,4.78,4,4,0,0,1.29
4707,4707,35052129.0,20200000000000.0,264042994,1,41.15963,-8.62075,2,1.0,1.0,1.0,1,1125,19,49,79,354,176,39,2,4.96,4.95,4.98,4.99,5.0,4.88,4.91,1,1,0,0,2.62
4709,4709,35061667.0,20200000000000.0,14689391,2,41.14251,-8.6143,2,,,,1,2,0,0,0,0,15,0,0,5.0,5.0,4.93,5.0,5.0,5.0,5.0,1,0,1,0,0.23
4710,4710,35063394.0,20200000000000.0,90781628,10,41.14905,-8.60604,6,1.0,2.0,4.0,1,8,16,36,60,281,175,39,2,4.75,4.81,4.83,4.91,4.93,4.96,4.75,10,10,0,0,2.59
4715,4715,35092168.0,20200000000000.0,195629770,17,41.15204,-8.60528,6,1.5,3.0,4.0,2,30,0,0,0,258,203,35,0,4.61,4.72,4.62,4.81,4.86,4.82,4.62,3,3,0,0,3.03
4717,4717,35105850.0,20200000000000.0,539223042,3,41.160172,-8.604539,4,,1.0,,2,31,0,0,0,0,53,5,0,4.83,4.91,4.79,4.74,4.85,4.75,4.68,3,3,0,0,0.79
4718,4718,35107326.0,20200000000000.0,264445694,1,41.14771,-8.59774,2,1.0,0.0,1.0,3,1024,26,56,86,266,183,40,1,4.74,4.84,4.66,4.74,4.79,4.68,4.72,1,1,0,0,2.73
4728,4728,35147566.0,20200000000000.0,204495679,1,41.15862,-8.59779,2,1.0,1.0,2.0,2,60,0,0,0,0,141,45,1,4.8,4.84,4.79,4.93,4.92,4.62,4.72,1,1,0,0,2.12
4730,4730,35157538.0,20200000000000.0,40140067,3,41.14912,-8.59035,4,1.0,2.0,2.0,3,30,17,27,57,332,51,17,0,4.57,4.55,4.71,4.86,4.8,4.33,4.55,1,1,0,0,0.77
4736,4736,35189889.0,20200000000000.0,16579948,2,41.12529,-8.60261,4,1.0,2.0,2.0,3,1125,28,58,88,178,14,0,0,4.14,4.64,4.64,4.71,4.71,4.64,4.36,2,2,0,0,0.21
4740,4740,35214124.0,20200000000000.0,250054559,4,41.14167,-8.6156,2,1.0,1.0,1.0,2,1125,25,55,85,356,178,12,0,4.66,4.76,4.86,4.82,4.86,4.94,4.71,4,4,0,0,2.73
4741,4741,35214585.0,20200000000000.0,250054559,4,41.1415,-8.61722,4,1.5,2.0,2.0,2,1125,27,57,87,362,150,15,0,4.65,4.78,4.87,4.86,4.88,4.85,4.65,4,4,0,0,3.6
4744,4744,35241477.0,20200000000000.0,260453947,1,41.14336,-8.6041,4,1.5,1.0,2.0,2,31,21,51,81,335,83,30,0,4.94,4.9,4.98,4.88,4.98,4.92,4.88,1,1,0,0,1.27
4748,4748,35257430.0,20200000000000.0,265014962,1,41.15978,-8.60814,4,,1.0,,2,1125,0,0,0,0,27,0,0,4.89,4.93,5.0,4.93,4.96,4.59,4.89,1,1,0,0,0.41
4752,4752,35283089.0,20200000000000.0,264896913,1,41.14885,-8.59929,4,1.0,3.0,3.0,1,31,0,0,0,0,12,0,0,4.75,4.67,4.58,4.58,4.92,4.75,4.67,1,1,0,0,0.18
4754,4754,35327965.0,20200000000000.0,257774488,2,41.14525604,-8.61191082,4,2.0,2.0,3.0,2,365,23,53,80,326,148,30,2,4.78,4.82,4.72,4.85,4.86,4.96,4.74,2,2,0,0,2.22
4755,4755,35328911.0,20200000000000.0,265991271,1,41.15503,-8.60671,2,1.0,1.0,1.0,3,1125,0,0,10,198,136,28,0,4.71,4.79,4.63,4.76,4.78,4.64,4.68,1,1,0,0,2.02
4761,4761,35349237.0,20200000000000.0,266126485,3,41.14628,-8.60263,4,1.0,1.0,2.0,3,31,11,11,11,111,48,6,0,4.92,4.96,4.92,4.96,4.96,4.85,4.73,3,3,0,0,0.72
4762,4762,35364054.0,20200000000000.0,266235423,1,41.15939,-8.60949,3,1.0,1.0,2.0,3,1125,0,0,14,104,27,0,0,4.7,4.81,4.63,4.85,4.93,4.7,4.59,1,1,0,0,0.4
4765,4765,35371395.0,20200000000000.0,266280493,2,41.14686,-8.6108,4,1.0,1.0,2.0,1,31,26,56,86,358,122,6,0,4.57,4.71,4.83,4.81,4.71,4.9,4.57,2,2,0,0,1.81
